age,balance,housing,loan
37,22,yes,yes
40,570,yes,no
33,56,yes,no
40,118,yes,no
27,106,yes,no
42,1768,yes,no
41,213,yes,no
37,381,yes,no
38,1147,yes,yes
44,373,yes,no
31,50,yes,no
34,67,yes,yes
46,0,yes,yes
33,61,yes,yes
36,504,yes,no
32,177,yes,no
27,584,yes,no
31,-732,yes,no
41,572,yes,no
35,105,yes,no
50,0,yes,no
33,832,yes,yes
48,2642,yes,no
36,195,yes,no
29,718,yes,no
34,336,yes,yes
39,332,yes,no
32,1,yes,no
59,-138,yes,yes
50,749,no,no
37,14,yes,no
33,177,no,no
52,557,no,no
43,126,yes,no
53,359,no,yes
37,496,yes,no
50,72,no,no
53,175,yes,no
47,430,no,no
48,574,yes,no
35,69,yes,no
42,106,yes,no
43,0,yes,no
40,23,yes,no
36,42,yes,no
39,429,yes,no
32,88,yes,no
44,3932,yes,no
43,177,yes,no
53,468,yes,no
41,639,yes,no
53,2124,yes,no
31,309,yes,no
51,202,yes,no
32,20,yes,yes
52,-17,yes,no
41,-417,yes,no
30,528,yes,no
32,394,yes,no
31,856,yes,no
38,468,yes,no
44,138,yes,no
36,406,yes,no
34,221,yes,no
40,523,yes,yes
41,-52,yes,no
56,397,yes,no
39,-432,yes,no
34,298,yes,no
41,1080,yes,yes
39,-85,yes,no
33,4012,no,yes
52,123,no,no
26,498,yes,no
54,23,yes,no
30,-315,yes,no
35,89,no,yes
47,699,yes,no
53,145,yes,no
29,-138,yes,yes
36,491,yes,no
35,820,yes,no
43,1376,yes,no
38,0,yes,no
39,507,yes,no
58,771,no,no
33,310,yes,no
60,136,yes,no
45,310,yes,no
39,813,yes,no
35,14,yes,yes
41,-97,yes,no
40,332,yes,no
33,5034,yes,no
32,281,yes,no
44,576,yes,no
34,1891,yes,no
29,473,yes,yes
49,216,yes,no
31,-13,yes,no
47,162,yes,no
34,365,yes,no
32,264,yes,no
32,490,yes,no
56,230,yes,no
28,-9,yes,yes
35,317,yes,no
52,458,yes,yes
35,19,yes,no
32,536,yes,no
42,117,yes,no
51,368,yes,no
47,-98,yes,no
34,627,yes,no
45,180,yes,no
31,26,yes,no
40,2171,yes,no
53,-118,yes,no
44,1059,yes,no
49,186,yes,no
47,1306,yes,no
31,3007,yes,no
45,-88,yes,no
30,265,yes,yes
40,21,yes,no
27,230,yes,no
28,252,yes,no
28,422,yes,no
44,85,yes,no
35,4286,yes,no
29,0,no,no
33,60,no,no
32,687,yes,no
35,40,yes,no
31,22,yes,no
36,-333,yes,yes
41,483,yes,no
35,503,yes,yes
40,1245,yes,no
42,117,yes,no
34,33,yes,yes
41,-320,yes,no
43,49,yes,no
37,0,yes,no
26,100,yes,no
32,344,yes,no
51,-286,yes,no
38,57,yes,no
51,370,no,no
49,470,yes,no
31,0,yes,no
33,767,yes,no
30,1,no,no
33,0,no,no
41,121,yes,no
37,190,yes,no
33,120,yes,no
32,2068,yes,yes
46,332,yes,no
34,-322,no,no
32,274,yes,no
43,3,yes,no
28,6,yes,no
46,288,yes,no
52,146,yes,no
34,286,yes,no
27,114,yes,yes
32,190,yes,yes
37,111,yes,no
29,246,yes,no
40,108,no,no
47,187,yes,no
34,457,yes,no
25,131,yes,yes
30,1825,yes,no
31,307,yes,no
35,-198,yes,no
32,739,yes,no
28,759,yes,no
27,777,yes,no
37,378,yes,no
35,337,yes,no
34,-78,yes,no
31,355,yes,no
36,133,yes,no
38,32,yes,no
25,55,yes,yes
51,417,yes,no
26,153,yes,no
40,794,no,no
26,187,yes,no
36,335,yes,no
59,1407,yes,no
26,-116,yes,yes
49,1842,yes,no
33,329,yes,no
31,428,yes,no
59,181,yes,no
38,2139,yes,no
37,253,yes,yes
31,133,yes,no
54,785,yes,no
41,-45,yes,yes
44,223,yes,no
28,2831,yes,no
22,2412,yes,no
31,11,yes,no
36,211,yes,no
37,34,yes,no
54,222,yes,no
28,3285,yes,no
42,-67,yes,no
35,670,yes,no
29,0,yes,no
59,96,yes,no
46,-3,yes,no
32,123,yes,no
43,443,yes,no
41,406,yes,no
31,535,no,no
26,302,yes,no
29,-43,yes,no
31,-346,no,no
37,-271,yes,no
35,55,yes,no
31,375,yes,no
30,-2,yes,no
29,-680,yes,no
29,0,no,no
39,217,yes,no
31,160,yes,no
27,118,yes,no
22,-1,yes,no
31,453,yes,no
39,169,yes,no
25,787,yes,no
27,78,yes,no
28,2269,yes,no
31,213,yes,no
46,164,yes,no
37,934,no,no
27,4,yes,yes
34,354,yes,no
30,23,yes,no
23,318,yes,no
33,-305,no,yes
43,616,yes,no
50,2590,yes,no
31,1868,yes,no
32,-578,no,no
32,-227,yes,yes
37,1981,yes,no
60,404,yes,no
47,65,yes,no
32,-1,yes,no
34,-68,yes,no
36,0,yes,no
28,229,yes,no
31,1656,yes,no
43,1342,yes,yes
32,331,yes,no
31,238,yes,yes
56,202,yes,no
34,318,yes,no
46,-1124,yes,yes
27,662,yes,no
33,1790,yes,yes
35,198,yes,no
29,726,yes,no
39,183,yes,no
48,149,yes,no
58,-91,yes,no
36,-9,yes,no
33,134,yes,no
32,0,no,no
32,6259,yes,no
31,27,no,yes
30,383,yes,no
30,1108,yes,yes
40,117,yes,no
35,108,yes,no
42,479,yes,no
60,65,yes,no
28,234,no,no
29,-53,yes,no
33,-131,yes,yes
23,-39,yes,yes
34,139,yes,no
29,262,yes,no
32,160,yes,no
55,186,yes,yes
39,-79,no,no
37,1113,yes,no
26,82,yes,no
35,321,yes,no
26,1326,yes,no
34,2257,yes,no
55,1373,no,no
39,304,yes,yes
27,659,yes,no
30,491,yes,no
28,101,yes,no
33,33,yes,no
43,291,yes,no
50,218,yes,no
26,102,yes,no
33,88,yes,no
47,94,yes,no
33,-665,yes,yes
34,-331,yes,yes
33,550,yes,no
23,151,yes,no
29,5406,no,no
33,269,yes,no
41,2457,yes,no
27,45,yes,no
34,610,yes,no
53,-133,yes,no
34,66,yes,no
40,10,yes,no
27,350,no,no
33,546,yes,yes
40,360,yes,no
21,6,no,no
31,0,yes,no
51,22,yes,yes
26,57,yes,no
26,1349,yes,no
32,708,no,no
31,1329,yes,yes
27,7459,yes,no
58,47,yes,no
39,-516,yes,no
30,0,yes,no
29,433,yes,no
38,9,yes,no
29,-6,yes,no
28,-197,yes,no
41,184,yes,no
43,336,yes,no
43,36,yes,no
37,277,yes,no
46,452,yes,no
53,-135,yes,no
28,7,yes,yes
41,442,yes,yes
36,590,yes,no
37,447,yes,no
38,49,yes,no
32,1118,yes,yes
33,390,yes,no
28,-125,yes,no
52,-97,yes,yes
30,18,no,no
37,131,yes,no
27,527,yes,no
31,1129,yes,no
47,266,yes,no
33,687,yes,no
46,1726,yes,yes
38,-388,yes,no
33,92,yes,no
44,-11,yes,no
35,1510,yes,no
38,171,yes,no
56,420,yes,no
33,513,yes,no
45,137,yes,no
30,21,yes,no
34,-312,yes,no
32,-208,yes,yes
32,2,no,no
27,1033,yes,no
48,855,yes,no
54,781,yes,no
29,542,yes,no
37,-175,yes,no
26,79,yes,yes
43,3,yes,no
31,4471,yes,no
55,2313,yes,no
45,-139,yes,no
35,300,yes,no
57,-3313,yes,yes
49,352,yes,no
23,105,yes,yes
49,164,yes,no
35,-202,yes,no
38,-256,yes,no
39,1261,yes,no
27,-503,yes,no
37,790,no,no
57,0,yes,no
38,638,yes,no
26,47,yes,no
46,242,yes,no
44,469,yes,no
44,271,yes,yes
28,948,yes,no
37,-356,no,yes
43,336,yes,no
25,61,yes,no
34,359,yes,no
39,105,yes,no
35,6809,yes,no
32,59,yes,yes
31,0,no,yes
42,0,yes,no
31,216,yes,no
30,2530,yes,no
29,356,yes,no
29,-228,yes,no
36,198,yes,no
41,510,yes,no
37,223,yes,no
32,4,yes,no
39,338,yes,no
31,0,yes,no
33,328,yes,no
30,255,yes,no
24,304,no,no
55,-256,yes,yes
27,683,yes,no
47,84,yes,no
29,608,yes,no
56,230,no,no
31,12,yes,no
46,881,yes,no
47,77,yes,no
29,510,yes,no
35,1555,yes,no
31,68,yes,no
29,43,yes,no
48,244,yes,no
59,1376,no,yes
44,392,yes,no
30,-396,yes,no
50,89,yes,no
25,10,yes,no
32,150,yes,no
49,1387,yes,yes
38,253,yes,no
29,853,yes,no
51,91,yes,no
29,348,yes,no
32,43,yes,no
43,-178,yes,no
34,2137,no,no
37,1160,yes,no
29,3986,yes,no
39,126,yes,no
34,6411,yes,yes
28,655,yes,no
37,2378,yes,no
29,15,yes,yes
25,96,yes,no
33,191,yes,no
34,391,yes,no
50,31,yes,no
35,73,no,no
53,0,no,no
41,156,yes,no
48,231,yes,no
32,-83,yes,no
38,138,no,no
57,221,yes,no
50,3284,yes,no
40,4190,no,no
45,5694,yes,no
34,297,yes,no
32,-89,yes,no
28,244,yes,no
30,152,yes,no
41,1696,yes,no
36,714,no,no
49,315,yes,no
32,312,yes,no
53,913,yes,no
44,-407,yes,no
34,338,yes,no
56,-435,yes,yes
27,769,yes,no
32,120,yes,yes
43,0,no,no
34,9569,yes,no
35,351,yes,no
28,2,yes,no
52,226,yes,no
36,95,yes,no
35,123,yes,no
30,15,yes,no
23,375,yes,no
37,1190,yes,no
29,487,yes,yes
28,123,yes,no
56,2272,yes,no
27,133,yes,yes
33,447,yes,no
53,-864,yes,no
47,8,no,no
50,107,yes,no
31,620,no,no
31,42,yes,no
37,-120,yes,no
37,493,yes,no
48,296,yes,no
31,6248,yes,no
34,484,no,no
32,12,yes,no
54,154,no,no
31,606,yes,no
55,560,yes,no
27,564,yes,no
36,771,yes,no
33,0,yes,yes
43,757,yes,no
42,333,yes,no
48,418,yes,no
41,-256,no,yes
36,494,yes,no
32,85,yes,no
58,127,yes,no
40,69,yes,no
31,713,yes,no
42,-10,yes,no
34,-294,yes,no
34,222,yes,no
35,86,yes,no
57,0,yes,yes
28,26,no,no
50,103,yes,no
46,-80,yes,no
28,131,yes,no
57,106,no,no
49,15,no,no
56,4542,no,no
56,172,yes,no
49,0,yes,no
50,107,yes,no
47,15,no,no
45,101,yes,no
44,304,yes,no
51,7816,yes,no
34,0,yes,no
25,784,yes,yes
30,2581,no,no
39,507,yes,no
25,333,yes,no
34,-220,yes,yes
25,249,yes,no
33,-257,yes,no
44,210,no,yes
55,18722,yes,no
54,42,yes,no
43,210,yes,no
35,325,no,no
27,123,yes,no
42,-25,yes,no
40,66,yes,no
31,0,yes,yes
29,409,yes,no
49,4785,no,no
59,121,yes,no
37,0,yes,no
60,231,yes,no
25,1135,yes,no
28,-201,yes,no
40,-278,yes,no
43,16,yes,no
51,-283,yes,no
28,-103,yes,no
54,113,no,no
37,194,yes,no
35,247,yes,no
26,-402,no,yes
55,-40,yes,no
57,3867,yes,no
39,36,yes,no
36,2167,yes,yes
35,243,yes,no
33,2,yes,yes
40,737,yes,no
31,286,no,no
32,311,no,no
27,541,yes,no
31,2963,yes,no
28,-871,yes,no
33,75,yes,yes
31,2597,yes,no
25,-454,yes,no
29,0,no,no
47,304,yes,no
59,220,yes,no
35,561,yes,no
33,211,yes,no
31,4509,yes,no
42,196,yes,no
26,124,yes,no
34,381,yes,no
31,184,yes,no
30,-149,yes,yes
54,-337,yes,no
52,210,yes,no
40,737,yes,yes
56,75,yes,no
25,641,yes,no
60,78,yes,no
43,1558,yes,no
32,227,yes,no
48,602,yes,no
43,798,yes,no
37,1047,yes,yes
52,111,yes,no
25,-439,yes,no
31,37,yes,no
35,362,yes,no
27,1,yes,no
41,304,yes,no
34,-89,yes,no
55,276,yes,no
26,288,yes,no
36,650,yes,no
45,171,yes,no
27,-302,yes,no
31,337,no,no
29,891,no,no
26,199,yes,yes
46,997,yes,no
32,108,yes,yes
25,40,no,no
54,208,no,no
31,6890,yes,no
33,395,yes,no
28,-214,yes,no
39,496,yes,no
37,183,yes,no
36,199,yes,no
56,179,yes,no
59,434,yes,no
30,122,yes,no
59,371,yes,no
27,3675,no,no
29,11,yes,no
48,194,yes,yes
44,23,yes,no
33,1011,yes,no
39,446,yes,no
46,-29,yes,no
28,957,yes,yes
31,297,yes,no
40,888,yes,no
37,115,yes,no
29,177,yes,no
29,-28,yes,no
24,951,yes,no
32,5,yes,no
26,586,yes,yes
47,-1445,yes,no
26,-23,yes,no
28,-284,yes,no
58,1166,yes,no
35,244,yes,no
29,-72,yes,no
56,1399,yes,no
43,0,yes,no
45,431,yes,no
31,130,yes,yes
34,187,yes,no
32,142,yes,no
33,14,yes,no
28,-219,yes,no
43,275,yes,no
49,5028,yes,no
27,118,yes,yes
30,290,yes,no
32,1064,yes,no
37,904,yes,no
31,628,yes,no
56,13,yes,no
26,450,yes,yes
43,-63,yes,no
48,164,yes,no
31,985,yes,no
36,616,yes,yes
24,237,yes,no
29,380,no,yes
23,290,yes,no
54,104,yes,no
24,117,yes,yes
25,276,yes,no
36,-475,yes,no
40,838,yes,no
29,382,yes,no
29,624,yes,no
48,396,yes,no
23,5,no,no
37,18,no,no
31,-464,yes,yes
29,330,yes,no
56,2087,yes,no
28,-260,yes,no
44,236,yes,no
48,684,yes,yes
30,458,yes,no
32,324,yes,no
41,1052,yes,yes
30,37,no,no
37,454,yes,no
30,573,yes,no
28,34,yes,no
33,341,no,yes
41,31,no,no
42,-189,yes,no
50,424,yes,no
23,250,yes,no
38,3165,yes,no
31,387,yes,no
35,855,yes,no
52,944,yes,no
36,134,no,no
28,2845,yes,no
27,2420,yes,no
24,1535,yes,no
45,0,no,no
39,504,yes,no
38,-329,yes,no
24,94,yes,no
35,538,yes,no
32,-18,yes,no
48,26,yes,no
36,177,yes,no
46,633,yes,no
28,205,yes,no
50,1114,yes,yes
44,78,yes,no
38,762,yes,no
33,1862,yes,no
57,73,no,no
40,2576,yes,yes
42,470,yes,no
32,206,yes,yes
55,0,yes,yes
25,-76,yes,no
42,1750,yes,no
23,1104,yes,no
31,286,yes,yes
21,137,yes,no
34,247,yes,yes
46,-43,no,no
55,309,yes,no
33,339,yes,no
47,218,yes,no
33,4128,yes,no
40,867,yes,yes
32,1345,yes,no
48,40,no,no
32,1466,yes,no
26,96,yes,no
38,332,yes,no
46,1474,yes,no
49,783,yes,no
33,239,no,no
45,27,yes,no
32,-24,yes,no
39,23,yes,no
53,6386,yes,no
28,-353,yes,no
31,-474,yes,no
34,714,yes,no
40,570,yes,no
29,16,no,no
34,1504,yes,no
38,551,yes,no
31,-759,yes,no
32,1097,yes,no
31,520,yes,no
53,0,no,no
38,573,yes,no
57,0,yes,no
58,146,yes,no
50,-37,yes,no
36,90,yes,no
46,0,yes,no
39,1242,yes,no
31,98,yes,yes
44,295,yes,no
53,465,no,yes
35,1473,yes,no
40,3122,yes,no
30,317,yes,no
33,176,yes,no
39,661,yes,no
25,1,yes,yes
35,-12,yes,no
43,1401,yes,no
41,171,yes,no
55,431,yes,no
49,265,yes,no
30,227,yes,yes
37,336,yes,no
46,41,yes,no
36,1554,yes,no
45,141,yes,no
48,762,yes,no
22,650,yes,no
46,250,no,no
39,130,yes,no
56,11,no,no
35,36,yes,no
45,333,yes,no
28,487,yes,no
32,594,yes,no
52,1135,yes,yes
26,-3,yes,no
22,-168,yes,no
35,414,no,no
44,166,yes,no
31,472,yes,no
28,-95,yes,no
23,158,yes,no
26,8,no,no
31,296,yes,no
27,-541,yes,yes
34,23,no,no
25,17,yes,no
25,335,yes,no
22,395,yes,no
37,178,yes,no
26,101,yes,no
32,-428,yes,no
26,24299,yes,no
27,181,no,no
22,83,yes,no
32,175,yes,no
33,5,yes,no
34,3185,yes,no
31,2577,yes,no
28,216,yes,no
37,166,yes,no
45,323,yes,no
31,334,yes,no
48,86,yes,no
24,845,yes,no
24,-126,yes,yes
45,-3,yes,no
26,54,yes,no
24,-192,yes,no
29,125,yes,no
34,2146,yes,no
30,-522,yes,no
21,99,yes,no
42,-1664,yes,no
32,2,yes,no
40,2172,yes,yes
33,168,yes,no
32,62,yes,yes
25,768,yes,no
41,429,yes,no
37,36,yes,no
29,0,yes,no
29,544,yes,no
46,91,yes,no
32,-3,yes,no
30,1374,yes,no
38,119,yes,no
22,279,yes,no
22,594,yes,no
32,-121,yes,yes
36,-195,yes,no
30,-208,yes,yes
26,309,yes,no
41,210,yes,no
42,135,yes,no
45,66,yes,no
24,-122,yes,no
54,0,no,no
33,-90,yes,no
28,286,yes,no
36,-423,yes,yes
34,505,yes,no
28,296,yes,no
31,279,yes,no
53,367,yes,yes
20,129,yes,yes
47,-13,no,no
33,1309,yes,no
24,-10,yes,no
23,5,yes,no
27,71,yes,no
23,281,yes,no
30,173,yes,no
34,383,yes,no
55,39,yes,no
57,1052,yes,no
59,-49,yes,no
20,-103,yes,no
30,-846,yes,no
41,705,yes,no
37,1950,yes,no
31,253,yes,no
39,595,yes,no
28,-185,yes,yes
44,353,yes,no
31,2363,yes,no
28,52,yes,no
51,205,yes,yes
34,1557,yes,yes
24,596,yes,no
29,-114,yes,no
50,478,no,no
21,614,yes,no
29,783,yes,no
26,401,yes,no
26,92,yes,no
21,-273,yes,yes
23,2594,yes,no
25,382,yes,no
40,-166,yes,no
39,-141,yes,no
25,-250,yes,no
26,3825,yes,no
57,0,no,no
61,1060,yes,no
34,-185,yes,yes
47,955,yes,no
31,263,yes,no
45,4646,yes,no
33,989,yes,yes
27,232,yes,yes
41,1483,yes,no
58,7495,yes,no
45,0,yes,yes
49,2199,yes,no
42,476,yes,no
52,148,yes,no
52,3241,yes,no
49,2665,yes,no
59,1875,yes,no
54,879,yes,no
46,1934,yes,no
44,0,no,no
26,380,yes,no
46,2485,yes,no
59,5521,yes,yes
43,24,yes,no
50,160,yes,no
26,-204,yes,no
54,363,yes,no
44,181,no,no
36,307,yes,no
51,193,yes,no
59,3382,yes,no
42,1823,yes,no
41,-111,yes,no
43,3373,yes,no
40,92,yes,no
32,463,yes,no
55,1192,yes,no
59,2376,no,no
30,-166,yes,yes
47,3960,yes,no
23,4,yes,no
44,23,yes,no
45,639,yes,no
35,2144,yes,no
41,225,yes,yes
59,13308,yes,no
29,95,yes,no
48,1199,yes,no
49,400,yes,no
60,1262,yes,yes
45,849,no,no
48,1949,yes,no
45,-395,yes,no
48,618,no,no
54,0,yes,no
44,0,yes,yes
46,355,yes,no
52,131,yes,yes
44,6203,yes,yes
52,1635,yes,no
46,580,yes,no
54,1814,no,no
49,159,yes,no
46,48,no,no
48,189,yes,no
43,-633,yes,yes
50,5356,no,no
44,476,yes,no
43,4478,yes,no
51,3132,no,no
59,-892,yes,no
52,11,yes,no
35,414,yes,no
36,1165,yes,no
32,3839,yes,no
41,196,yes,no
47,521,yes,no
45,350,yes,yes
45,8680,yes,no
45,0,yes,no
29,309,yes,no
36,125,yes,no
37,368,yes,no
44,1362,yes,no
56,296,yes,no
52,2240,yes,no
57,1026,yes,no
54,1301,yes,no
49,199,no,no
24,11,yes,no
42,5,yes,no
40,373,yes,yes
25,1270,yes,no
28,416,yes,no
53,-27,no,no
40,221,yes,no
27,331,yes,no
34,402,yes,no
56,123,no,no
45,105,yes,yes
27,0,yes,no
53,1691,no,no
34,2,yes,no
44,3,yes,no
46,399,yes,no
53,1421,yes,no
26,8,yes,yes
31,150,yes,yes
35,-371,yes,no
43,1916,yes,no
47,300,yes,no
37,175,yes,yes
57,3571,no,no
41,1135,yes,no
55,789,yes,no
51,2195,yes,no
27,1311,yes,no
53,-689,yes,no
39,14,yes,yes
35,56,yes,no
28,26765,no,no
29,17,yes,no
51,463,yes,no
46,751,yes,no
50,3478,yes,no
56,88,yes,no
28,64,yes,no
51,36,yes,no
54,42,yes,no
47,113,yes,no
49,358,yes,yes
46,274,yes,no
41,0,yes,no
45,985,yes,no
31,81,yes,no
53,592,yes,no
60,791,yes,no
55,708,yes,no
54,51,yes,no
46,0,yes,no
41,356,yes,no
34,34,yes,no
51,12061,yes,no
31,513,yes,no
55,6958,yes,yes
44,126,yes,no
25,54,yes,no
36,373,yes,no
33,304,yes,no
46,781,no,no
43,42,no,no
46,618,yes,no
53,1570,yes,no
52,1161,yes,no
57,0,no,no
31,-745,yes,no
54,88,yes,no
37,1330,yes,no
41,641,yes,no
44,1423,yes,no
26,8206,yes,no
40,4436,yes,no
32,1611,yes,yes
44,607,yes,no
44,300,yes,no
35,304,yes,no
49,254,yes,no
44,3790,yes,no
40,59,yes,no
39,1554,yes,no
51,257,yes,no
59,643,yes,no
42,128,yes,no
47,743,yes,yes
57,1460,no,no
42,-32,yes,no
40,1117,yes,no
44,2887,yes,no
38,446,yes,no
51,1212,yes,no
48,2218,yes,no
48,705,no,no
42,299,yes,no
48,313,yes,no
49,12482,yes,yes
44,29312,no,no
44,2226,yes,yes
32,1940,yes,yes
43,576,yes,yes
44,0,yes,yes
53,887,yes,no
43,17,yes,no
31,106,yes,no
48,489,yes,no
46,148,yes,no
41,14,yes,yes
26,1531,yes,no
26,3108,yes,no
52,26,yes,no
47,2466,yes,no
47,1045,yes,no
27,-588,no,no
31,413,yes,no
60,0,yes,no
58,193,yes,yes
44,1340,yes,no
32,363,yes,no
33,-306,yes,yes
38,607,yes,no
35,556,yes,no
47,449,yes,yes
32,338,yes,no
41,-4,yes,yes
30,623,yes,no
60,1390,no,yes
36,719,yes,no
46,369,yes,no
58,1357,yes,no
52,0,yes,no
55,0,yes,no
43,2047,yes,no
24,507,yes,no
24,-427,yes,no
25,53,yes,no
40,93,yes,no
31,822,yes,no
31,849,yes,yes
26,-214,yes,no
52,161,yes,no
25,800,yes,no
40,598,yes,no
42,-135,yes,no
31,0,yes,yes
43,59,no,no
57,452,yes,no
30,49,yes,no
23,-213,no,no
53,2477,yes,no
44,264,yes,no
48,4265,yes,no
59,559,yes,no
33,-15,yes,no
60,926,yes,no
42,693,yes,no
44,9956,yes,no
50,1300,yes,no
54,2626,no,no
29,-44,yes,no
59,593,no,no
37,511,yes,no
55,493,yes,no
53,599,yes,no
31,272,yes,no
49,735,yes,no
28,15,yes,no
47,159,yes,no
31,651,yes,no
49,198,yes,no
59,-278,yes,no
34,-100,yes,no
43,15,yes,no
38,0,no,no
41,108,yes,yes
44,617,yes,no
31,516,yes,no
35,11,yes,no
37,1026,yes,no
58,3635,no,no
24,32,no,no
35,-123,yes,no
33,-238,yes,no
40,1089,yes,yes
46,3749,yes,no
41,3140,yes,no
33,221,yes,no
35,300,yes,no
57,515,yes,no
40,819,yes,no
36,722,yes,no
47,3346,yes,yes
50,419,yes,no
51,330,yes,no
41,1576,yes,no
38,258,yes,no
39,317,yes,no
25,57,yes,yes
43,3285,yes,no
33,152,yes,no
45,2429,yes,no
58,3111,yes,no
57,1352,yes,no
27,37,yes,no
25,640,yes,no
38,113,no,no
28,468,yes,no
33,184,yes,no
44,633,yes,no
57,7,yes,no
46,57,yes,no
57,0,yes,no
42,419,yes,yes
46,120,yes,no
39,580,yes,no
27,362,yes,no
42,43,yes,no
58,749,yes,no
42,243,yes,no
48,9004,no,no
57,2236,yes,no
52,3348,yes,no
54,2062,yes,no
55,188,no,no
46,1483,yes,no
48,2550,yes,no
25,53,yes,no
38,547,yes,no
46,1374,no,yes
48,67,yes,no
43,4998,yes,no
52,0,no,no
27,-2,yes,yes
29,23,yes,no
49,512,yes,yes
30,447,no,no
50,1917,yes,no
58,4871,yes,no
44,326,yes,no
52,0,yes,yes
44,0,no,no
27,14,no,no
35,692,yes,yes
31,369,yes,yes
31,591,yes,no
52,3923,yes,no
44,0,yes,no
28,348,yes,yes
41,102,yes,yes
54,447,yes,no
46,2121,yes,no
48,5154,yes,no
31,393,yes,no
42,5879,yes,no
40,-31,yes,no
56,871,yes,no
45,37378,yes,no
53,1443,yes,no
31,752,yes,no
42,1093,yes,no
51,573,yes,yes
52,258,no,no
48,247,yes,yes
28,202,yes,no
34,302,yes,no
50,736,yes,no
46,0,yes,no
54,532,yes,no
43,0,no,no
55,7378,no,no
47,4666,no,no
43,1516,yes,no
45,0,yes,yes
46,6085,yes,yes
39,-183,yes,no
26,91,yes,no
40,30,yes,no
48,24,yes,no
53,522,yes,no
40,770,yes,no
54,1288,yes,no
46,1029,yes,no
47,4135,yes,no
50,204,yes,yes
59,1534,yes,no
44,0,yes,no
42,877,yes,no
52,478,yes,no
30,1130,yes,no
46,2401,yes,no
45,740,yes,no
29,993,no,no
53,896,yes,no
55,332,yes,no
45,1088,no,no
35,51,yes,no
52,1541,yes,no
40,413,yes,no
42,2656,yes,no
41,1618,yes,no
42,146,yes,no
40,153,yes,no
41,4505,yes,no
57,0,yes,no
45,520,yes,no
47,4151,yes,no
40,3382,yes,no
33,261,yes,no
49,1160,yes,no
39,517,yes,yes
50,2956,yes,no
60,1327,yes,yes
53,8417,yes,no
58,-172,yes,no
52,2257,yes,no
42,277,yes,no
42,902,yes,no
43,212,yes,no
51,513,yes,no
53,2272,yes,no
53,719,yes,no
42,1,no,no
40,503,yes,no
59,1521,yes,yes
59,2516,yes,yes
48,468,yes,no
25,329,yes,no
59,259,yes,yes
49,769,yes,no
42,-700,yes,no
37,15801,yes,no
40,7831,yes,no
31,0,no,no
41,-68,yes,no
60,2639,yes,no
42,1076,yes,no
48,584,yes,no
43,2706,yes,yes
47,1294,yes,no
40,771,yes,no
55,283,yes,yes
51,482,yes,no
54,11,no,no
41,2823,yes,no
41,338,yes,no
53,5700,yes,no
46,3028,yes,yes
45,2418,yes,no
48,1405,yes,no
44,0,yes,no
47,2775,no,no
49,611,yes,yes
41,1654,yes,no
54,1691,yes,no
48,427,no,no
30,938,yes,no
45,626,yes,no
40,874,no,no
42,24,no,no
48,7373,yes,no
40,1535,yes,no
47,2,yes,yes
47,829,yes,yes
33,164,yes,no
54,1765,yes,no
46,1733,yes,no
53,383,yes,no
25,777,yes,no
50,0,yes,no
40,1522,yes,yes
53,4446,yes,no
41,923,yes,no
41,1309,yes,no
42,1340,yes,no
47,3158,yes,no
48,1596,yes,no
43,887,yes,no
55,23189,yes,no
40,1010,yes,no
45,246,yes,no
54,918,yes,no
46,1429,yes,no
57,2439,yes,no
49,348,yes,no
49,387,yes,no
41,22,yes,no
42,3641,yes,no
42,2535,yes,no
49,1878,yes,no
42,3,yes,no
34,9,yes,no
47,502,yes,no
41,3634,yes,no
45,3395,yes,no
33,673,yes,no
53,600,yes,no
43,698,yes,no
40,2540,yes,no
34,357,yes,no
40,782,yes,no
41,2097,yes,no
44,-101,yes,no
57,628,yes,yes
42,0,yes,no
57,6874,yes,no
43,16,yes,no
45,1691,yes,no
60,1542,yes,no
41,1057,yes,no
49,11317,yes,no
42,-1300,no,no
41,299,yes,no
33,189,yes,no
56,1412,yes,no
49,0,yes,no
41,235,yes,no
48,20718,yes,no
41,1043,yes,yes
41,890,yes,no
30,768,no,yes
52,618,yes,yes
40,1313,no,no
60,3932,yes,no
28,334,yes,no
44,80,yes,yes
44,-27,yes,yes
32,2285,yes,no
53,193,no,no
41,-198,no,yes
57,1180,yes,yes
42,505,yes,no
31,6943,yes,no
46,243,yes,yes
40,3652,yes,no
46,3455,yes,no
55,2607,yes,no
52,2024,yes,no
50,0,yes,no
57,-222,no,no
28,1238,yes,no
46,33,yes,no
40,1000,yes,no
56,881,yes,no
48,403,yes,no
36,-38,yes,no
37,0,yes,no
41,221,yes,no
43,1109,yes,no
40,1416,yes,no
40,264,yes,no
45,141,yes,yes
44,1944,yes,no
53,694,yes,no
31,303,yes,no
50,2087,yes,no
53,369,yes,yes
56,166,yes,no
45,718,yes,no
47,4543,yes,no
33,1613,yes,no
57,-1,no,no
45,1410,yes,no
34,577,no,no
49,-63,yes,no
49,892,no,no
37,-113,yes,no
57,3240,yes,no
40,3658,yes,no
57,3545,yes,no
45,1292,yes,no
61,4248,yes,no
54,155,yes,no
46,501,yes,no
51,658,yes,no
42,3743,yes,no
42,329,yes,no
60,703,yes,no
41,7735,yes,no
41,455,yes,no
55,831,yes,no
46,1757,yes,no
54,1480,yes,no
51,7180,yes,no
